id,year,month,geoid,cii.indoor.demand,cii.indoor.total_use,cii.total_use,indoor.demand,outdoor.demand
65,2014,1,60375714002,266978.88,266978.88,266978.88,889929.56,532443
66,2014,1,60375714003,279789.94,279789.94,279789.94,932633.1,1.8543706e+06
67,2014,1,60375714004,562082.3,562082.3,562082.3,1.8736078e+06,930009.94
68,2014,1,60375714005,450036.75,450036.75,450036.75,1.5001225e+06,708982.5
69,2014,1,60375715031,944788.5,944788.5,944788.5,3.149295e+06,583639.5
70,2014,1,60375715042,555707.1,555707.1,555707.1,1.8523571e+06,92859.766
71,2014,1,60375719003,626217.9,626217.9,626217.9,2.0873929e+06,20478.578
72,2014,2,60375550011,422405.84,422405.84,422405.84,1.4080195e+06,1.2294326e+06
73,2014,2,60375550012,246832.4,246832.4,246832.4,822774.7,301532.12
74,2014,2,60375550013,438469.3,438469.3,438469.3,1.4615644e+06,582318
75,2014,2,60375550014,866520.44,866520.44,866520.44,2.8884015e+06,842357.5
76,2014,2,60375550021,490222.5,490222.5,490222.5,1.634075e+06,692017.7
77,2014,2,60375550022,830110.75,830110.75,830110.75,2.7670358e+06,1.2302854e+06
78,2014,2,60375551021,1.4176645e+06,1.4176645e+06,1.4176645e+06,4.725548e+06,1.4192758e+06
79,2014,2,60375551022,865853.4,865853.4,865853.4,2.886178e+06,413505.47
80,2014,2,60375551031,952566.06,952566.06,952566.06,3.1752202e+06,1.03276894e+06
81,2014,2,60375551032,782735.7,782735.7,782735.7,2.609119e+06,990707.94
82,2014,2,60375551041,929249.6,929249.6,929249.6,3.0974988e+06,1.0884714e+06
83,2014,2,60375700011,457233.53,457233.53,457233.53,1.5241118e+06,1.3416902e+06
84,2014,2,60375700012,302450.2,302450.2,302450.2,1.0081673e+06,370591.84
85,2014,2,60375700013,545663.4,545663.4,545663.4,1.818878e+06,1.1620782e+06
86,2014,2,60375700014,409054.66,409054.66,409054.66,1.3635155e+06,678944.7
87,2014,2,60375700021,350351.8,350351.8,350351.8,1.1678394e+06,728110.6
88,2014,2,60375700022,277210.5,277210.5,277210.5,924035,470913.1
89,2014,2,60375700023,409694.5,409694.5,409694.5,1.3656484e+06,803991
90,2014,2,60375700031,386749.12,386749.12,386749.12,1.2891638e+06,862819.56
91,2014,2,60375700032,465384.88,465384.88,465384.88,1.551283e+06,699975.2
92,2014,2,60375700033,279710.1,279710.1,279710.1,932366.94,449314.22
93,2014,2,60375700034,238589.92,238589.92,238589.92,795299.75,418052.6
94,2014,2,60375700035,322430.1,322430.1,322430.1,1.074767e+06,529173.3
95,2014,2,60375707011,300557.84,300557.84,300557.84,1.0018595e+06,492511.94
96,2014,2,60375707012,1.02557875e+06,1.02557875e+06,1.02557875e+06,3.4185958e+06,869071.94
97,2014,2,60375707013,251714.98,251714.98,251714.98,839049.94,439083.1
98,2014,2,60375707014,300881.06,300881.06,300881.06,1.0029369e+06,519794.8
99,2014,2,60375707015,770486.5,770486.5,770486.5,2.5682882e+06,1.3814776e+06
100,2014,2,60375707021,549906.3,549906.3,549906.3,1.833021e+06,750562.2
101,2014,2,60375707022,392982.72,392982.72,392982.72,1.3099424e+06,735783.9
102,2014,2,60375708001,478338.78,478338.78,478338.78,1.5944626e+06,884134.4
103,2014,2,60375708002,476525,476525,476525,1.5884166e+06,818200.8
104,2014,2,60375708003,462045.44,462045.44,462045.44,1.5401515e+06,1.3564684e+06
105,2014,2,60375708004,382340.75,382340.75,382340.75,1.2744692e+06,668997.8
106,2014,2,60375708005,349718.1,349718.1,349718.1,1.1657269e+06,1.3811934e+06
107,2014,2,60375709011,518822.6,518822.6,518822.6,1.7294086e+06,952909.8
108,2014,2,60375709012,491181.53,491181.53,491181.53,1.6372718e+06,1.0231063e+06
109,2014,2,60375709013,484486,484486,484486,1.6149534e+06,921079.9
110,2014,2,60375709014,269325.44,269325.44,269325.44,897751.5,473186.62
111,2014,2,60375709015,409249.25,409249.25,409249.25,1.3641641e+06,861682.8
112,2014,2,60375709021,423110.9,423110.9,423110.9,1.4103696e+06,720721.56
113,2014,2,60375709022,544737.5,544737.5,544737.5,1.8157918e+06,1.0103175e+06
114,2014,2,60375709023,447893.56,447893.56,447893.56,1.4929785e+06,813085.25
115,2014,2,60375710001,409501.94,409501.94,409501.94,1.3650064e+06,1.2962188e+06
