id,year,month,geoid,cii.demand,gray_produced,indoor.demand,outdoor.demand,wastewater.supply
76,2000,6,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
77,2000,6,371639708003,0,211223.48,478456.75,0,430611.1
78,2000,6,371639708005,0,66167.44,149880.39,0,134892.34
79,2000,7,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
80,2000,7,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
81,2000,7,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
82,2000,7,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
83,2000,7,371639707001,0,5244.4614,11879.588,0,10691.629
84,2000,7,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
85,2000,7,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
86,2000,7,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
87,2000,7,371639707005,0,109003.78,246911.92,0,222220.73
88,2000,7,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
89,2000,7,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
90,2000,7,371639708003,0,218264.28,494405.3,0,444964.78
91,2000,7,371639708005,0,68373.02,154876.39,0,139388.77
92,2000,8,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
93,2000,8,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
94,2000,8,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
95,2000,8,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
96,2000,8,371639707001,0,5244.4614,11879.588,0,10691.629
97,2000,8,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
98,2000,8,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
99,2000,8,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
100,2000,8,371639707005,0,109003.78,246911.92,0,222220.73
101,2000,8,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
102,2000,8,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
103,2000,8,371639708003,0,218264.28,494405.3,0,444964.78
104,2000,8,371639708005,0,68373.02,154876.39,0,139388.77
105,2000,9,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
106,2000,9,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
107,2000,9,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
108,2000,9,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
109,2000,9,371639707001,0,5075.285,11496.376,0,10346.738
110,2000,9,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
111,2000,9,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
112,2000,9,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
113,2000,9,371639707005,0,105487.53,238947.02,0,215052.31
114,2000,9,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
115,2000,9,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
116,2000,9,371639708003,0,211223.48,478456.75,0,430611.1
117,2000,9,371639708005,0,66167.44,149880.39,0,134892.34
118,2000,10,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
119,2000,10,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
120,2000,10,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
121,2000,10,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
122,2000,10,371639707001,0,5244.4614,11879.588,0,10691.629
123,2000,10,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
124,2000,10,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
125,2000,10,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
126,2000,10,371639707005,0,109003.78,246911.92,0,222220.73
127,2000,10,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
128,2000,10,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
129,2000,10,371639708003,0,218264.28,494405.3,0,444964.78
130,2000,10,371639708005,0,68373.02,154876.39,0,139388.77
131,2000,11,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
132,2000,11,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
133,2000,11,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
134,2000,11,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
135,2000,11,371639707001,0,5075.285,11496.376,0,10346.738
136,2000,11,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
137,2000,11,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
138,2000,11,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
139,2000,11,371639707005,0,105487.53,238947.02,0,215052.31
140,2000,11,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
141,2000,11,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
142,2000,11,371639708003,0,211223.48,478456.75,0,430611.1
143,2000,11,371639708005,0,66167.44,149880.39,0,134892.34
144,2000,12,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
145,2000,12,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
146,2000,12,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
147,2000,12,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
148,2000,12,371639707001,0,5244.4614,11879.588,0,10691.629
149,2000,12,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
150,2000,12,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
151,2000,12,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
152,2000,12,371639707005,0,109003.78,246911.92,0,222220.73
153,2000,12,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
154,2000,12,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
155,2000,12,371639708003,0,218264.28,494405.3,0,444964.78
156,2000,12,371639708005,0,68373.02,154876.39,0,139388.77
157,2001,1,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
158,2001,1,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
159,2001,1,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
160,2001,1,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
161,2001,1,371639707001,0,5244.4614,11879.588,0,10691.629
162,2001,1,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
163,2001,1,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
164,2001,1,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
165,2001,1,371639707005,0,109003.78,246911.92,0,222220.73
166,2001,1,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
167,2001,1,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
168,2001,1,371639708003,0,218264.28,494405.3,0,444964.78
169,2001,1,371639708005,0,68373.02,154876.39,0,139388.77
170,2001,2,371639706001,0,475768.88,1.0776965e+06,0,969926.9
171,2001,2,371639706002,0,751977.2,1.7033549e+06,0,1.5330194e+06
172,2001,2,371639706003,0,536446.5,1.2151416e+06,0,1.0936275e+06
173,2001,2,371639706004,0,539407.5,1.2218488e+06,0,1.0996639e+06
174,2001,2,371639707001,0,4736.933,10729.95,0,9656.955
175,2001,2,371639707002,0,616686.1,1.3968979e+06,0,1.2572081e+06
176,2001,2,371639707003,0,461166.47,1.0446196e+06,0,940157.7
177,2001,2,371639707004,0,556981.3,1.2616564e+06,0,1.1354908e+06
178,2001,2,371639707005,0,98455.03,223017.22,0,200715.5
179,2001,2,371639708001,0,615615,1.3944716e+06,0,1.2550244e+06
180,2001,2,371639708002,0,511034.62,1.1575795e+06,0,1.0418215e+06
181,2001,2,371639708003,0,197141.92,446559.66,0,401903.7
182,2001,2,371639708005,0,61756.277,139888.36,0,125899.52
183,2001,3,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
184,2001,3,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
185,2001,3,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
186,2001,3,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
187,2001,3,371639707001,0,5244.4614,11879.588,0,10691.629
188,2001,3,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
189,2001,3,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
190,2001,3,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
191,2001,3,371639707005,0,109003.78,246911.92,0,222220.73
192,2001,3,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
193,2001,3,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
194,2001,3,371639708003,0,218264.28,494405.3,0,444964.78
195,2001,3,371639708005,0,68373.02,154876.39,0,139388.77
196,2001,4,371639706001,0,509752.34,1.1546749e+06,0,1.0392074e+06
197,2001,4,371639706002,0,805689.9,1.8250231e+06,0,1.6425209e+06
198,2001,4,371639706003,0,574764.1,1.3019375e+06,0,1.1717438e+06
199,2001,4,371639706004,0,577936.6,1.3091238e+06,0,1.1782114e+06
200,2001,4,371639707001,0,5075.285,11496.376,0,10346.738
201,2001,4,371639707002,0,660735.1,1.4966762e+06,0,1.3470086e+06
202,2001,4,371639707003,0,494106.9,1.1192354e+06,0,1.0073118e+06
203,2001,4,371639707004,0,596765.7,1.3517746e+06,0,1.2165972e+06
204,2001,4,371639707005,0,105487.53,238947.02,0,215052.31
205,2001,4,371639708001,0,659587.5,1.4940768e+06,0,1.344669e+06
206,2001,4,371639708002,0,547537.1,1.2402638e+06,0,1.1162374e+06
207,2001,4,371639708003,0,211223.48,478456.75,0,430611.1
208,2001,4,371639708005,0,66167.44,149880.39,0,134892.34
209,2001,5,371639706001,0,526744.1,1.193164e+06,0,1.0738476e+06
210,2001,5,371639706002,0,832546.2,1.8858572e+06,0,1.6972715e+06
211,2001,5,371639706003,0,593922.94,1.3453354e+06,0,1.2108019e+06
212,2001,5,371639706004,0,597201.2,1.3527611e+06,0,1.217485e+06
213,2001,5,371639707001,0,5244.4614,11879.588,0,10691.629
214,2001,5,371639707002,0,682759.6,1.5465655e+06,0,1.391909e+06
215,2001,5,371639707003,0,510577.16,1.1565431e+06,0,1.0408889e+06
216,2001,5,371639707004,0,616657.9,1.3968339e+06,0,1.2571505e+06
217,2001,5,371639707005,0,109003.78,246911.92,0,222220.73
218,2001,5,371639708001,0,681573.75,1.5438792e+06,0,1.3894914e+06
219,2001,5,371639708002,0,565788.3,1.2816059e+06,0,1.1534452e+06
220,2001,5,371639708003,0,218264.28,494405.3,0,444964.78
