OID_,PWSID,State,PWS_Name,Primacy_Agency,Pop_Cat_5,Population_Served_Count,Service_Connections_Count,Method,Service_Area_Type,Symbology_Field,Original_Data_Provider,Data_Provider_Type,Boundary_Method,Method_Basis,Method_Details,System_Type,Verification_Status,Verification_Process,Verifier_Type,Publisher_Owner,Data_Source_Link,Secondary_ID,Secondary_ID_Source,Detailed_Facility_Report,Date_Created,Date_Modified,Verification_Date,ORIG_FID,x,y
15,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.310620700000001,35.019904699999998
16,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308653600000000,35.019183699999999
17,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308217400000004,35.018441899999999
18,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308522600000003,35.017907500000000
19,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308748300000005,35.015270700000002
20,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308489800000004,35.014656799999997
21,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308929599999999,35.013107599999998
22,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308624199999997,35.012454400000003
23,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.309044400000005,35.011841799999999
24,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.309364900000006,35.008043600000001
25,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.306587699999994,35.008795100000000
26,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305926200000002,35.008310500000000
27,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305817800000000,35.007205499999998
28,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308000600000000,35.006519400000002
29,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.305830400000005,35.005731900000001
30,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.306558300000006,35.004360599999998
31,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.310320700000005,35.005465500000000
32,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.309255300000004,35.003988700000001
33,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308538400000003,35.002209000000001
34,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307619000000003,35.001694999999998
35,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.307790299999994,35.000551199999997
36,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.306779800000001,35.000366200000002
37,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.306790000000007,34.998272600000000
38,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.308039800000003,34.998258600000000
39,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.302486599999995,34.997701300000003
40,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.297775099999996,34.998327400000001
41,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.297701000000004,34.997000200000002
42,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.285315199999999,34.995657700000002
43,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.284567499999994,34.995109700000000
44,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.284552189999999,34.994537979999997
45,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.278982459999995,34.993885919999997
46,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.275803460000006,34.993468919999998
47,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.275358460000007,34.993380920000000
48,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.275417460000000,34.993319919999998
49,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.275536459999998,34.993202920000002
50,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.276054459999997,34.992690920000001
51,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.276211459999999,34.992535920000002
52,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277304459999996,34.991430919999999
53,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.277478459999998,34.991232920000002
